Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
3-Methylbutyl hexadecanoate,22.0556,813,C21H42O2,10551294,434,70.11
Peak 343,22.0637,,,1191861,27,67.10
3-Methylbutyl hexadecanoate,22.0913,656,C21H42O2,2642354,70,70.13
"1,1,1-Trifluoroheptadecen-2-one",22.1351,692,C17H31F3O,1079291,87,57.11
Citronellol epoxide (R or S),22.3252,668,C10H20O2,882327,89,59.08
Peak 347,22.3524,,,30441,17,117.10
Peak 348,22.4265,,,569930,48,59.08
"Decane, 1-iodo-",22.467,771,C10H21I,5260521,65,57.11
"thiazolo[5,4-d]thiazole, 2,5-di-2-pyridinyl-",22.6271,660,C14H8N4S2,192963,11,88.08
"3,4-Hexanedione, 2,2,5,5-tetramethyl-, monooxime",22.7074,695,C10H19NO2,3397700,67,57.11
2-Bromo dodecane,22.7115,618,C12H25Br,2017517,96,71.12
Isopropyl linoleate,22.8881,869,C21H38O2,7933674,282,57.11
"trans-9-Octadecenoic acid, pentyl ester",22.9577,844,C23H44O2,19750812,517,57.11
"Bicyclo[2.2.1]hept-2-ene, 2,7,7-trimethyl-",22.9776,655,C10H16,1146258,57,93.10
Peak 356,22.9946,,,431148,31,79.07
"Cyclopentene, 3-methyl-",23.1123,788,C6H10,475397,26,67.09
Peak 358,23.1451,,,644436,46,73.08
"Heptane, 4-ethyl-2,2,6,6-tetramethyl-",23.3056,664,C13H28,2691156,32,57.11
"Nonane, 1-iodo-",23.4288,751,C9H19I,8526566,23,57.12
