"Spectrum","Time","TIC"
738,493.79527008,2608382.138466011
739,493.89526368,2583757.838509098
740,493.99525728,2558223.564590057
741,494.09525088,2531960.272974665
742,494.19524448,2505125.823809166
743,494.29523808,2477883.206138229
744,494.3952316800001,2450424.210074286
745,494.49522528,2422906.523936071
746,494.59521888,2395470.212357843
747,494.69521248,2368243.387022714
748,494.79520608,2341337.198076101
749,494.89519968,2314759.704685621
750,494.99519328,2288443.179366664
751,495.09518688,2262309.706429304
752,495.19518048,2236363.108066899
753,495.29517408,2210648.834741219
754,495.39516768,2185178.343877027
755,495.49516128,2159934.91161071
756,495.59515488,2134914.273969497
757,495.69514848,2110116.955742704
758,495.79514208,2085558.109355788
759,495.89513568,2061330.837065464
760,495.99512928,2037679.970069096
761,496.09512288,2014951.051190458
762,496.19511648,1993410.928276751
763,496.29511008,1973153.964921583
764,496.39510368,1954194.579752468
765,496.49509728,1936576.596679299
766,496.59509088,1920358.164243498
767,496.69508448,1905649.026616033
768,496.7950780800001,1892566.979256878
769,496.89507168,1881170.178469948
770,496.99506528,1871381.229232732
771,497.09505888,1862960.600228137
772,497.19505248,1855640.904073477
773,497.29504608,1849291.557044232
774,497.39503968,1843908.057935161
775,497.49503328,1839468.256913746
776,497.59502688,1835849.46229858
777,497.69502048,1832911.444066223
778,497.79501408,1830492.084654312
779,497.89500768,1828443.674604957
780,497.99500128,1826683.552525943
781,498.09499488,1825193.589623685
782,498.19498848,1824025.540167874
783,498.29498208,1823197.357929567
784,498.39497568,1822621.41229289
785,498.49496928,1822154.144994553
786,498.59496288,1821674.785912032
787,498.69495648,1821179.938511828
788,498.79495008,1820733.623636129
789,498.89494368,1820442.417408928
790,498.99493728,1820370.386036136
791,499.09493088,1820475.506473882
792,499.1949244800001,1820648.346479429
793,499.29491808,1820780.27184881
794,499.39491168,1820794.963593074
795,499.49490528,1820685.979870592
796,499.59489888,1820501.646411038
797,499.69489248,1820356.626394027
798,499.79488608,1820287.579916944
799,499.89487968,1820181.963192857
800,499.99487328,1819786.092162707
801,500.09486688,1818935.376392179
802,500.19486048,1817656.893701598
803,500.2948540800001,1816117.5455843
804,500.39484768,1814473.343876619
805,500.49484128,1812858.941571632
806,500.59483488,1811363.910160475
807,500.69482848,1810059.694413615
808,500.79482208,1808966.874161768
809,500.89481568,1808102.36485935
810,500.99480928,1807541.255236933
811,501.09480288,1807429.484417435
812,501.19479648,1807844.156564434
813,501.29479008,1808747.052307
814,501.39478368,1810029.392590615
815,501.49477728,1811603.787064919
816,501.5947708800001,1813394.20326424
817,501.69476448,1815328.284027092
818,501.79475808,1817299.020297392
819,501.89475168,1819204.503449774
820,501.99474528,1821038.346488076
821,502.09473888,1822890.889232303
822,502.19473248,1824882.634395579
823,502.29472608,1827120.991543405
824,502.39471968,1829679.127979042
825,502.49471328,1832623.605323584
826,502.59470688,1835992.871019339
827,502.6947004800001,1839805.370724838
828,502.79469408,1844062.791550622
829,502.89468768,1848787.655955317
830,502.99468128,1853994.443832414
831,503.09467488,1859610.634635988
832,503.19466848,1865467.396135783
833,503.29466208,1871354.957564139
834,503.39465568,1877087.256631929
835,503.49464928,1882555.309073525
836,503.59464288,1887667.669684811
837,503.69463648,1892367.979083484
838,503.79463008,1896640.951497489
839,503.89462368,1900498.077804507
840,503.99461728,1903962.199827546
841,504.09461088,1907068.401775666
842,504.19460448,1909865.783769337
843,504.29459808,1912443.7068294
844,504.39459168,1914946.036744218
845,504.49458528,1917496.846057301
846,504.59457888,1920126.247272814
847,504.69457248,1922797.794535627
848,504.79456608,1925422.525457153
849,504.89455968,1927880.553441592
850,504.99455328,1930072.852886424
851,505.0945468800001,1931924.188973316
852,505.19454048,1933364.218266329
853,505.29453408,1934352.932813861
854,505.39452768,1934833.695107849
855,505.49452128,1934678.405039293
856,505.59451488,1933764.350701923
857,505.69450848,1932066.219490476
